,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"< CELESTIAL NETWORKS >
REPUBLIC HIGH COMMAND: COMMANDERS SHEET",,,,,,,,,,,
,,,,,,,,,,,,,
,     -     REPUBLIC HIGH COMMAND,,,,,,,,,,,,
,,Sinclair,Republic High Command,General,Serbo,,,,,,,,
,,Erry Rink,,Lieutenant General,Erry,,,,,,,,
,,Wullf Yularen,,Rear Admiral,Naps,,,,,,,,
,,Mace Windu,Jedi Order,Master of the Order,Hazzi,,,,,,,,
,,,,,,,,,,,,,
,     -     PERMANENT REGIMENTS,,,,,,,,,,,,
,COMMANDER,,REGIMENT,RANK,ALIAS,LAST PROMOTION,ELIGIBLE,NEXT MEETING,Pass %,Time Since,Days Required,,
,,,Unassigned,Captain,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,Scythe,501st Legion,Marshal Commander,Scythe,07/02/2026,N/A,No,N/A,79,MAX,FALSE,FALSE
,,Cody,212th Attack Battalion,Senior Commander,Tearz,18/04/2026,16/05/2026,No,90%,9,28,FALSE,FALSE
,,Orson Krennic,Republic Navy,Commodore,Gecko,07/04/2026,N/A,No,N/A,20,MAX,FALSE,FALSE
,,Dalek,5th Fleet Security,Marshal Commander,Digby,19/07/2025,N/A,No,N/A,282,MAX,FALSE,FALSE
,,Goblin,77th Medical Brigade,Major,Goblin,21/04/2026,05/05/2026,No,60%,6,14,FALSE,FALSE
,,Blitz,Rancor Battalion,ARC Marshal Commander,Veldt,20/01/2026,N/A,No,N/A,97,MAX,FALSE,FALSE
,,,,,,,,,,,,,
,     -     DONATOR REGIMENTS,,,,,,,,,,,,
,,Doom,Doom's Unit,Senior Commander,Light,31/01/2026,28/02/2026,Yes,90%,86,28,FALSE,FALSE
,,King,187th Legion,Commander,Bobby,14/04/2026,05/05/2026,No,80%,13,21,FALSE,FALSE
,,Kaboom,442nd Siege Battalion,Major,Zergo,21/04/2026,05/05/2026,No,60%,6,14,FALSE,FALSE
,,Wraith,44th Spec-Ops Division,Major,Sly,25/04/2026,09/05/2026,No,60%,2,14,FALSE,FALSE
,,,,,,,,,,,,,
,     -     SPECIAL OPERATIONS BRIGADE,,,,,,,,,,,,
,,Boss,Delta Squad,Colonel,Kyrak,31/03/2026,28/04/2026,Yes,90%,27,28,FALSE,FALSE
,,Flon,H.O.P.E Squad,Major,Flon,18/04/2026,09/05/2026,No,80%,9,21,FALSE,FALSE
,,Niner,Omega Squad,Warrant Officer,Khalid,07/04/2026,21/04/2026,Yes,60%,20,14,FALSE,FALSE
,,Cov,Yayax Squad,Warrant Officer,Mellow,14/04/2026,28/04/2026,Yes,60%,13,14,FALSE,FALSE
,,,,,,,,,,,,,
,     -     DISBANDED,,,,,,,,,,,,
,     -     DONATOR REGIMENTS,,,,,,,,,,,,
,,Wolffe,104th Wolfpack Battalion,Captain,Alter,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,327th Star Corps,Captain,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,91st Recon Corps,Captain,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,21st Nova Corps,Captain,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,41st Elite Corps,Captain,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,Keeli Company,Captain,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,38th Armoured Division,Captain,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,     -     SPECIAL OPERATIONS BRIGADE,,,,,,,,,,,,
,,Cabur,Aquila Squad,Sergeant Major,Vexy,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,Gregor,Foxtrot Group,Sergeant Major,Sun,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,Epsilon Squad,Sergeant Major,,,30/12/1899,Yes,,,,FALSE,FALSE
,,,Ion Team,Sergeant Major,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,Aiwha Squad,Sergeant Major,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,Blue Squad,Sergeant Major,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
,,,Veshok Squad,Sergeant Major,,,13/01/1900,Yes,50%,46139,14,FALSE,FALSE
